City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
475,Grindavik,IS,63.8424,-22.4338,48.67,81,75,5.75,broken clouds
476,Maneadero,MX,31.7167,-116.5667,86.18,76,13,3.0,few clouds
477,Guapore,BR,-28.8456,-51.8903,54.12,52,1,9.24,clear sky
478,Kargasok,RU,59.0556,80.8572,52.05,94,21,6.35,few clouds
479,Anisoc,GQ,1.8658,10.7689,69.75,95,10,3.38,clear sky
480,Fare,PF,-16.7,-151.0167,73.96,89,100,19.24,heavy intensity rain
481,Makokou,GA,0.5738,12.8642,75.78,72,23,3.22,few clouds
482,Kokopo,PG,-4.352,152.2633,76.21,83,100,5.61,overcast clouds
483,Kieta,PG,-6.2167,155.6333,78.94,83,100,5.59,light rain
484,Zhirnovsk,RU,50.9845,44.7735,75.15,59,0,5.82,clear sky
485,Wangqing,CN,43.3218,129.7634,67.44,98,100,2.04,overcast clouds
486,Hoima,UG,1.4356,31.3436,71.15,57,100,3.53,overcast clouds
487,Santa Maria,BR,-29.6842,-53.8069,54.7,44,20,21.85,few clouds
488,Gaoua,BF,10.2992,-3.2508,79.09,72,100,6.38,overcast clouds
489,Port Blair,IN,11.6667,92.75,80.4,87,100,19.08,moderate rain
490,Brownsville,US,25.9018,-97.4975,93.31,62,22,5.01,few clouds
491,Kirakira,SB,-10.4544,161.9205,79.47,82,98,11.01,overcast clouds
492,Kathu,TH,7.9178,98.3332,86.7,82,85,13.09,overcast clouds
493,Ambunti,PG,-4.2365,142.8448,72.34,99,100,0.4,overcast clouds
494,Jiexiu,CN,37.0244,111.9125,69.55,88,97,2.35,overcast clouds
495,Lewistown,US,40.5992,-77.5714,79.25,64,40,13.8,scattered clouds
496,Melito Di Porto Salvo,IT,37.9222,15.7714,75.33,68,75,10.36,broken clouds
497,Nabire,ID,-3.3667,135.4833,74.86,94,100,4.81,overcast clouds
498,Sivas,TR,39.7916,37.0019,73.85,55,15,5.59,few clouds
499,Kharovsk,RU,59.9642,40.1912,64.74,63,6,4.38,clear sky
500,Mwense,ZM,-10.3845,28.698,64.9,34,0,6.35,clear sky
501,Itarema,BR,-2.9248,-39.9167,84.02,68,84,14.16,broken clouds
502,Ocala,US,29.1872,-82.1401,93.33,49,1,1.01,clear sky
503,Kununurra,AU,-15.7667,128.7333,58.98,77,100,3.44,overcast clouds
504,Kogon,UZ,39.7228,64.5517,82.44,30,0,4.61,clear sky
505,San Francisco,US,37.7749,-122.4194,94.78,73,95,1.99,overcast clouds
506,Shelburne,CA,44.0787,-80.2041,84.76,33,7,11.18,clear sky
507,San Juan,AR,-31.5375,-68.5364,57.94,18,66,8.77,broken clouds
508,Liancheng,CN,24.0519,105.075,66.74,95,100,1.36,overcast clouds
509,Huron,US,41.1501,-82.5499,81.97,60,0,7.63,clear sky
510,Victor Harbor,AU,-35.5667,138.6167,50.47,93,100,12.62,light rain
511,Haimen,CN,23.1935,116.6142,82.29,86,100,8.61,overcast clouds
512,Salvador,SV,13.8333,-88.9167,86.05,57,74,0.72,broken clouds
513,Kampene,CD,-3.6,26.6667,73.47,46,84,1.36,broken clouds
514,Chiredzi,ZW,-21.05,31.6667,54.63,82,8,3.69,clear sky
515,Kaharlyk,UA,49.8623,30.8282,80.26,62,40,4.34,scattered clouds
516,Santa Lucia,ES,27.9117,-15.5407,73.76,57,0,26.46,clear sky
517,Indian Head,US,38.6001,-77.1622,87.35,51,81,5.01,broken clouds
